"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Zipcode_Group","Count"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94608",4
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94609",7
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94610",1
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94611",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94612",4
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94613",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94618",2
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94619",5
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94621",16
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94704",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94705",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94720",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Homeless/Transitioning",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94601",9
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94602",4
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94603",1
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94605",2
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94606",30
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94607",3
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94608",2
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94609",2
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94610",4
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94611",1
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94612",1
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94613",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94618",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94619",2
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94621",2
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94704",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94705",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"94720",0
